"","ensemblID","reactomeID","pwDesc"
"60","AT2G47570.2","R-ATH-392499","Metabolism of proteins"
"61","AT3G56700.1","R-ATH-556833","Metabolism of lipids and lipoproteins"
"62","AT3G56700.1","R-ATH-8848584","Wax biosynthesis"
"63","AT3G56700.1","R-ATH-1430728","Metabolism"
"64","AT4G04760.1","R-ATH-425366","Transport of glucose and other sugars"
"65","AT4G04760.1","R-ATH-428790","Facilitative Na+-independent glucose transporters"
"66","AT4G04760.1","R-ATH-382551","Transmembrane transport of small molecules"
"67","AT4G04760.1","R-ATH-425407","SLC-mediated transmembrane transport"
"68","AT5G02080.1","R-ATH-196849","Metabolism of water-soluble vitamins and cofactors"
"69","AT5G02080.1","R-ATH-196854","Metabolism of vitamins and cofactors"
"70","AT5G02080.1","R-ATH-199220","Vitamin B5 (pantothenate) metabolism"
"71","AT5G02080.1","R-ATH-196783","Coenzyme A biosynthesis"
"72","AT5G02080.1","R-ATH-1430728","Metabolism"
"73","AT5G53360.1","R-ATH-1280218","Adaptive Immune System"
"74","AT5G53360.1","R-ATH-983169","Class I MHC mediated antigen processing & presentation"
"75","AT5G53360.1","R-ATH-983168","Antigen processing: Ubiquitination & Proteasome degradation"
"76","AT5G53360.1","R-ATH-168256","Immune System"
"77","AT5G65500.1","R-ATH-5218859","Regulated Necrosis"
"78","AT5G65500.1","R-ATH-5357801","Programmed Cell Death"
"79","AT5G65500.1","R-ATH-5213460","RIPK1-mediated regulated necrosis"
"80","C04F6.5","R-CEL-1430728","Metabolism"
"81","C04F6.5","R-CEL-556833","Metabolism of lipids and lipoproteins"
"82","C04F6.5","R-CEL-196071","Metabolism of steroid hormones"
"83","C04F6.5","R-CEL-193048","Androgen biosynthesis"
"84","C54G7.4","R-CEL-5610787","Hedgehog 'off' state"
"85","C54G7.4","R-CEL-162582","Signal Transduction"
"86","C54G7.4","R-CEL-1852241","Organelle biogenesis and maintenance"
"87","C54G7.4","R-CEL-5620924","Intraflagellar transport"
"88","C54G7.4","R-CEL-5617833","Assembly of the primary cilium"
"89","C54G7.4","R-CEL-5358351","Signaling by Hedgehog"
"90","D1044.2a","R-CEL-2173782","Binding and Uptake of Ligands by Scavenger Receptors"
"91","D1044.2a","R-CEL-2142845","Hyaluronan metabolism"
"92","D1044.2a","R-CEL-3000497","Scavenging by Class H Receptors"
"93","D1044.2a","R-CEL-1430728","Metabolism"
"94","D1044.2a","R-CEL-1630316","Glycosaminoglycan metabolism"
"95","D1044.2a","R-CEL-5653656","Vesicle-mediated transport"
"96","D1044.2a","R-CEL-2160916","Hyaluronan uptake and degradation"
"97","D1044.2a","R-CEL-71387","Metabolism of carbohydrates"
"98","D1044.2b","R-CEL-2173782","Binding and Uptake of Ligands by Scavenger Receptors"
"99","D1044.2b","R-CEL-2142845","Hyaluronan metabolism"
"100","D1044.2b","R-CEL-3000497","Scavenging by Class H Receptors"
"101","D1044.2b","R-CEL-1430728","Metabolism"
"102","D1044.2b","R-CEL-1630316","Glycosaminoglycan metabolism"
"103","D1044.2b","R-CEL-5653656","Vesicle-mediated transport"
"104","D1044.2b","R-CEL-2160916","Hyaluronan uptake and degradation"
"105","D1044.2b","R-CEL-71387","Metabolism of carbohydrates"
"106","D1044.2c","R-CEL-2173782","Binding and Uptake of Ligands by Scavenger Receptors"
"107","D1044.2c","R-CEL-2142845","Hyaluronan metabolism"
"108","D1044.2c","R-CEL-3000497","Scavenging by Class H Receptors"
"109","D1044.2c","R-CEL-1430728","Metabolism"
"110","D1044.2c","R-CEL-1630316","Glycosaminoglycan metabolism"
"111","D1044.2c","R-CEL-5653656","Vesicle-mediated transport"
"112","D1044.2c","R-CEL-2160916","Hyaluronan uptake and degradation"
"113","D1044.2c","R-CEL-71387","Metabolism of carbohydrates"
"114","DDB0167452","R-DDI-382551","Transmembrane transport of small molecules"
"115","DDB0167452","R-DDI-425397","Transport of vitamins"
"116","DDB0167452","R-DDI-425407","SLC-mediated transmembrane transport"
"117","DDB0167452","R-DDI-727802","Transport of nucleotide sugars"
"118","DDB0184497","R-DDI-983169","Class I MHC mediated antigen processing & presentation"
"119","DDB0184497","R-DDI-168256","Immune System"
"120","DDB0184497","R-DDI-983168","Antigen processing: Ubiquitination & Proteasome degradation"
"121","DDB0184497","R-DDI-1280218","Adaptive Immune System"
"122","DDB0216167","R-DDI-983169","Class I MHC mediated antigen processing & presentation"
"123","DDB0216167","R-DDI-168256","Immune System"
"124","DDB0216167","R-DDI-983168","Antigen processing: Ubiquitination & Proteasome degradation"
"125","DDB0216167","R-DDI-1280218","Adaptive Immune System"
"126","DDB0216197","R-DDI-372790","Signaling by GPCR"
"127","DDB0216197","R-DDI-2428924","IGF1R signaling cascade"
"128","DDB0216197","R-DDI-109703","PKB-mediated events"
"129","DDB0216197","R-DDI-109582","Hemostasis"
"130","DDB0216197","R-DDI-2428928","IRS-related events triggered by IGF1R"
"131","DDB0216197","R-DDI-74752","Signaling by Insulin receptor"
"132","DDB0216197","R-DDI-418555","G alpha (s) signalling events"
"133","DDB0216197","R-DDI-165160","PDE3B signalling"
"134","DDB0216197","R-DDI-162582","Signal Transduction"
"135","DDB0216197","R-DDI-165160","PDE3B signalling"
"136","DDB0216197","R-DDI-109703","PKB-mediated events"
"137","DDB0216197","R-DDI-74751","Insulin receptor signalling cascade"
"138","DDB0216197","R-DDI-112399","IRS-mediated signalling"
"139","DDB0216197","R-DDI-418346","Platelet homeostasis"
"140","DDB0216197","R-DDI-2404192","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"
"141","DDB0216197","R-DDI-109704","PI3K Cascade"
"142","DDB0216197","R-DDI-109704","PI3K Cascade"
"143","DDB0216197","R-DDI-112399","IRS-mediated signalling"
"144","DDB0216197","R-DDI-392154","Nitric oxide stimulates guanylate cyclase"
"145","DDB0216197","R-DDI-418457","cGMP effects"
"146","DDB0216197","R-DDI-388396","GPCR downstream signaling"
"147","DDB0216215","R-DDI-382551","Transmembrane transport of small molecules"
"148","DDB0216215","R-DDI-917937","Iron uptake and transport"
"149","DDB0216215","R-DDI-74752","Signaling by Insulin receptor"
"150","DDB0216215","R-DDI-168256","Immune System"
"151","DDB0216215","R-DDI-77387","Insulin receptor recycling"
"152","DDB0216215","R-DDI-917977","Transferrin endocytosis and recycling"
"153","DDB0216215","R-DDI-162582","Signal Transduction"
"154","DDB0216215","R-DDI-1222556","ROS"
"155","DDB0216245","R-DDI-556833","Metabolism of lipids and lipoproteins"
"156","DDB0216245","R-DDI-1483257","Phospholipid metabolism"
"157","DDB0216245","R-DDI-1430728","Metabolism"
"158","DDB0216245","R-DDI-1483206","Glycerophospholipid biosynthesis"
"159","DDB0216287","R-DDI-3700989","Transcriptional Regulation by TP53"
"160","DDB0216287","R-DDI-6807505","RNA polymerase II transcribes snRNA genes"
"161","DDB0216287","R-DDI-73779","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"
"162","DDB0216287","R-DDI-504046","RNA Polymerase I"
"163","DDB0216287","R-DDI-72203","Processing of Capped Intron-Containing Pre-mRNA"
"164","DDB0216287","R-DDI-5696398","Nucleotide Excision Repair"
"165","DDB0216287","R-DDI-674695","RNA Polymerase II Pre-transcription Events"
"166","DDB0216287","R-DDI-75953","RNA Polymerase II Transcription Initiation"
"167","DDB0216287","R-DDI-72086","mRNA Capping"
"168","DDB0216287","R-DDI-73857","RNA Polymerase II Transcription"
"169","DDB0216287","R-DDI-168249","Innate Immune System"
"170","DDB0216287","R-DDI-74160","Gene Expression"
"171","DDB0216287","R-DDI-6781823","Formation of TC-NER Pre-Incision Complex"
"172","DDB0216287","R-DDI-112382","Formation of RNA Pol II elongation complex "
"173","DDB0216287","R-DDI-6796648","TP53 Regulates Transcription of DNA Repair Genes"
"174","DDB0216287","R-DDI-75955","RNA Polymerase II Transcription Elongation"
"175","DDB0216287","R-DDI-113418","Formation of the Early Elongation Complex"
"176","DDB0216287","R-DDI-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER"
"177","DDB0216287","R-DDI-6782135","Dual incision in TC-NER"
"178","DDB0216287","R-DDI-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)"
"179","DDB0216287","R-DDI-73776","RNA Polymerase II Promoter Escape"
"180","DDB0216287","R-DDI-76042","RNA Polymerase II Transcription Initiation And Promoter Clearance"
"181","DDB0216287","R-DDI-73864","RNA Polymerase I Transcription"
"182","DDB0216287","R-DDI-212436","Generic Transcription Pathway"
"183","DDB0216287","R-DDI-73854","RNA Polymerase I Promoter Clearance"
"184","DDB0216287","R-DDI-73762","RNA Polymerase I Transcription Initiation"
"185","DDB0216287","R-DDI-1834949","Cytosolic sensors of pathogen-associated DNA "
"186","DDB0216287","R-DDI-77075","RNA Pol II CTD phosphorylation and interaction with CE"
"187","DDB0216287","R-DDI-168256","Immune System"
"188","DDB0216287","R-DDI-73894","DNA Repair"
"189","DDB0216287","R-DDI-72172","mRNA Splicing"
"190","DDB0216287","R-DDI-72165","mRNA Splicing - Minor Pathway"
"191","DDB0217097","R-DDI-1614635","Sulfur amino acid metabolism"
"192","DDB0217097","R-DDI-71291","Metabolism of amino acids and derivatives"
"193","DDB0217097","R-DDI-1614558","Degradation of cysteine and homocysteine"
"194","DDB0217097","R-DDI-1430728","Metabolism"
"195","DDB0217434","R-DDI-1614635","Sulfur amino acid metabolism"
"196","DDB0217434","R-DDI-71291","Metabolism of amino acids and derivatives"
"197","DDB0217434","R-DDI-1614558","Degradation of cysteine and homocysteine"
"198","DDB0217434","R-DDI-1430728","Metabolism"
"199","DDB0220118","R-DDI-2559580","Oxidative Stress Induced Senescence"
"200","DDB0220118","R-DDI-2262752","Cellular responses to stress"
"201","DDB0220118","R-DDI-2559583","Cellular Senescence"
"202","DDB0229413","R-DDI-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic"
"203","DDB0229413","R-DDI-162658","Golgi Cisternae Pericentriolar Stack Reorganization"
"204","DDB0229413","R-DDI-199977","ER to Golgi Anterograde Transport"
"205","DDB0229413","R-DDI-1640170","Cell Cycle"
"206","DDB0229413","R-DDI-597592","Post-translational protein modification"
"207","DDB0229413","R-DDI-204005","COPII (Coat Protein 2) Mediated Vesicle Transport"
"208","DDB0229413","R-DDI-69278","Cell Cycle"
"209","DDB0229413","R-DDI-68886","M Phase"
"210","DDB0229413","R-DDI-199991","Membrane Trafficking"
"211","DDB0229413","R-DDI-5653656","Vesicle-mediated transport"
"212","DDB0229413","R-DDI-392499","Metabolism of proteins"
"213","DDB0229413","R-DDI-68875","Mitotic Prophase"
"214","DDB0229413","R-DDI-6807878","COPI-mediated anterograde transport"
"215","DDB0229413","R-DDI-8856688","Golgi-to-ER retrograde transport"
"216","DDB0229413","R-DDI-6811434","COPI-dependent Golgi-to-ER retrograde traffic"
"217","DDB0229413","R-DDI-446203","Asparagine N-linked glycosylation"
"218","DDB0229413","R-DDI-948021","Transport to the Golgi and subsequent modification"
"219","DDB0230078","R-DDI-535734","Fatty acid"
"220","DDB0230078","R-DDI-556833","Metabolism of lipids and lipoproteins"
"221","DDB0230078","R-DDI-163685","Integration of energy metabolism"
"222","DDB0230078","R-DDI-163765","ChREBP activates metabolic gene expression"
"223","DDB0230078","R-DDI-75105","Fatty Acyl-CoA Biosynthesis"
"224","DDB0230078","R-DDI-196854","Metabolism of vitamins and cofactors"
"225","DDB0230078","R-DDI-1430728","Metabolism"
"226","DDB0230078","R-DDI-75109","Triglyceride Biosynthesis"
"227","DDB0230078","R-DDI-196849","Metabolism of water-soluble vitamins and cofactors"
"228","DDB0230078","R-DDI-199220","Vitamin B5 (pantothenate) metabolism"
"229","DDB0231010","R-DDI-3700989","Transcriptional Regulation by TP53"
"230","DDB0231010","R-DDI-112382","Formation of RNA Pol II elongation complex "
"231","DDB0231010","R-DDI-6796648","TP53 Regulates Transcription of DNA Repair Genes"
"232","DDB0231010","R-DDI-75955","RNA Polymerase II Transcription Elongation"
"233","DDB0231010","R-DDI-6807505","RNA polymerase II transcribes snRNA genes"
"234","DDB0231010","R-DDI-113418","Formation of the Early Elongation Complex"
"235","DDB0231010","R-DDI-73779","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"
"236","DDB0231010","R-DDI-73776","RNA Polymerase II Promoter Escape"
"237","DDB0231010","R-DDI-76042","RNA Polymerase II Transcription Initiation And Promoter Clearance"
"238","DDB0231010","R-DDI-72203","Processing of Capped Intron-Containing Pre-mRNA"
"239","DDB0231010","R-DDI-674695","RNA Polymerase II Pre-transcription Events"
"240","DDB0231010","R-DDI-75953","RNA Polymerase II Transcription Initiation"
"241","DDB0231010","R-DDI-212436","Generic Transcription Pathway"
"242","DDB0231010","R-DDI-72086","mRNA Capping"
"243","DDB0231010","R-DDI-73857","RNA Polymerase II Transcription"
"244","DDB0231010","R-DDI-77075","RNA Pol II CTD phosphorylation and interaction with CE"
"245","DDB0231010","R-DDI-72172","mRNA Splicing"
"246","DDB0231010","R-DDI-74160","Gene Expression"
"247","DDB0231010","R-DDI-72165","mRNA Splicing - Minor Pathway"
"248","DDB0231154","R-DDI-1799339","SRP-dependent cotranslational protein targeting to membrane"
"249","DDB0231154","R-DDI-72766","Translation"
"250","DDB0231154","R-DDI-72613","Eukaryotic Translation Initiation"
"251","DDB0231154","R-DDI-72706","GTP hydrolysis and joining of the 60S ribosomal subunit"
"252","DDB0231154","R-DDI-72689","Formation of a pool of free 40S subunits"
"253","DDB0231154","R-DDI-72737","Cap-dependent Translation Initiation"
"254","DDB0231154","R-DDI-392499","Metabolism of proteins"
"255","DDB0231154","R-DDI-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"256","DDB0231154","R-DDI-156827","L13a-mediated translational silencing of Ceruloplasmin expression"
"257","DDB0231154","R-DDI-72312","rRNA processing"
"258","DDB0231154","R-DDI-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"259","DDB0231154","R-DDI-74160","Gene Expression"
"260","DDB0231154","R-DDI-927802","Nonsense-Mediated Decay (NMD)"
"261","DDB0231154","R-DDI-6791226","Major pathway of rRNA processing in the nucleolus"
"262","DDB0231976","R-DDI-372790","Signaling by GPCR"
"263","DDB0231976","R-DDI-418594","G alpha (i) signalling events"
"264","DDB0231976","R-DDI-420499","Class C/3 (Metabotropic glutamate/pheromone receptors)"
"265","DDB0231976","R-DDI-977443","GABA receptor activation"
"266","DDB0231976","R-DDI-112314","Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"
"267","DDB0231976","R-DDI-977444","GABA B receptor activation"
"268","DDB0231976","R-DDI-112316","Neuronal System"
"269","DDB0231976","R-DDI-162582","Signal Transduction"
"270","DDB0231976","R-DDI-388396","GPCR downstream signaling"
"271","DDB0231976","R-DDI-500792","GPCR ligand binding"
"272","DDB0231976","R-DDI-112315","Transmission across Chemical Synapses"
"273","DDB0233510","R-DDI-74160","Gene Expression"
"274","DDB0233510","R-DDI-72172","mRNA Splicing"
"275","DDB0233510","R-DDI-72203","Processing of Capped Intron-Containing Pre-mRNA"
"276","DDB0233510","R-DDI-72165","mRNA Splicing - Minor Pathway"
"277","DDB0233802","R-DDI-109582","Hemostasis"
"278","DDB0233802","R-DDI-76002","Platelet activation"
"279","DDB0233802","R-DDI-76005","Response to elevated platelet cytosolic Ca2+"
"280","DDB0233802","R-DDI-114608","Platelet degranulation "
"281","DDB0234035","R-DDI-1632852","Macroautophagy"
"282","DDB0234035","R-DDI-917729","Endosomal Sorting Complex Required For Transport (ESCRT)"
"283","DDB0234035","R-DDI-2262752","Cellular responses to stress"
"284","DDB0234035","R-DDI-199991","Membrane Trafficking"
"285","DDB0234035","R-DDI-5653656","Vesicle-mediated transport"
"286","DDB0235212","R-DDI-1640170","Cell Cycle"
"287","DDB0235212","R-DDI-69278","Cell Cycle"
"288","DDB0235212","R-DDI-69231","Cyclin D associated events in G1"
"289","DDB0235212","R-DDI-69236","G1 Phase"
"290","DDB0235212","R-DDI-453279","Mitotic G1-G1/S phases"
"291","DDB0238176","R-DDI-556833","Metabolism of lipids and lipoproteins"
"292","DDB0238176","R-DDI-1483257","Phospholipid metabolism"
"293","DDB0238176","R-DDI-1430728","Metabolism"
"294","DDB0238176","R-DDI-1483206","Glycerophospholipid biosynthesis"
"295","ENSBTAP00000000374","R-BTA-73847","Purine metabolism"
"296","ENSBTAP00000000374","R-BTA-73817","Purine ribonucleoside monophosphate biosynthesis"
"297","ENSBTAP00000000374","R-BTA-1430728","Metabolism"
"298","ENSBTAP00000000374","R-BTA-15869","Metabolism of nucleotides"
"299","ENSBTAP00000000398","R-BTA-1566948","Elastic fibre formation"
"300","ENSBTAP00000000398","R-BTA-2129379","Molecules associated with elastic fibres"
"301","ENSBTAP00000000398","R-BTA-1474244","Extracellular matrix organization"
"302","ENSBTAP00000000814","R-BTA-72649","Translation initiation complex formation"
"303","ENSBTAP00000000814","R-BTA-72613","Eukaryotic Translation Initiation"
"304","ENSBTAP00000000814","R-BTA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"305","ENSBTAP00000000814","R-BTA-6791226","Major pathway of rRNA processing in the nucleolus"
"306","ENSBTAP00000000814","R-BTA-72702","Ribosomal scanning and start codon recognition"
"307","ENSBTAP00000000814","R-BTA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs"
"308","ENSBTAP00000000814","R-BTA-72312","rRNA processing"
"309","ENSBTAP00000000814","R-BTA-72695","Formation of the ternary complex"
"310","ENSBTAP00000000814","R-BTA-927802","Nonsense-Mediated Decay (NMD)"
"311","ENSBTAP00000000814","R-BTA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"312","ENSBTAP00000000814","R-BTA-72737","Cap-dependent Translation Initiation"
"313","ENSBTAP00000000814","R-BTA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit"
"314","ENSBTAP00000000814","R-BTA-72766","Translation"
"315","ENSBTAP00000000814","R-BTA-72689","Formation of a pool of free 40S subunits"
"316","ENSBTAP00000000814","R-BTA-156827","L13a-mediated translational silencing of Ceruloplasmin expression"
"317","ENSBTAP00000000814","R-BTA-392499","Metabolism of proteins"
"318","ENSBTAP00000000814","R-BTA-74160","Gene Expression"
"319","ENSBTAP00000000814","R-BTA-1799339","SRP-dependent cotranslational protein targeting to membrane"
"320","ENSBTAP00000001536","R-BTA-75109","Triglyceride Biosynthesis"
"321","ENSBTAP00000001536","R-BTA-1430728","Metabolism"
"322","ENSBTAP00000001536","R-BTA-1483257","Phospholipid metabolism"
"323","ENSBTAP00000001536","R-BTA-535734","Fatty acid"
"324","ENSBTAP00000001536","R-BTA-1482883","Acyl chain remodeling of DAG and TAG"
"325","ENSBTAP00000001536","R-BTA-556833","Metabolism of lipids and lipoproteins"
"326","ENSBTAP00000001536","R-BTA-1483206","Glycerophospholipid biosynthesis"
"327","ENSBTAP00000001698","R-BTA-141333","Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB"
"328","ENSBTAP00000001698","R-BTA-140179","Amine Oxidase reactions"
"329","ENSBTAP00000001698","R-BTA-1430728","Metabolism"
"330","ENSBTAP00000001698","R-BTA-211945","Phase 1 - Functionalization of compounds"
"331","ENSBTAP00000001698","R-BTA-211859","Biological oxidations"
"332","ENSBTAP00000001745","R-BTA-1280215","Cytokine Signaling in Immune system"
"333","ENSBTAP00000001745","R-BTA-448706","Interleukin-1 processing"
"334","ENSBTAP00000001745","R-BTA-449147","Signaling by Interleukins"
"335","ENSBTAP00000001745","R-BTA-5621481","C-type lectin receptors (CLRs)"
"336","ENSBTAP00000001745","R-BTA-446652","Interleukin-1 signaling"
"337","ENSBTAP00000001745","R-BTA-5660668","CLEC7A/inflammasome pathway"
"338","ENSBTAP00000001745","R-BTA-168256","Immune System"
"339","ENSBTAP00000001745","R-BTA-168249","Innate Immune System"
"340","ENSBTAP00000001745","R-BTA-5607764","CLEC7A (Dectin-1) signaling"
"341","ENSBTAP00000002492","R-BTA-114608","Platelet degranulation "
"342","ENSBTAP00000002492","R-BTA-76005","Response to elevated platelet cytosolic Ca2+"
"343","ENSBTAP00000002492","R-BTA-76002","Platelet activation"
"344","ENSBTAP00000002492","R-BTA-109582","Hemostasis"
"345","ENSBTAP00000003559","R-BTA-110357","Displacement of DNA glycosylase by APEX1"
"346","ENSBTAP00000003559","R-BTA-73933","Resolution of Abasic Sites (AP sites)"
"347","ENSBTAP00000003559","R-BTA-73930","Abasic sugar-phosphate removal via the single-nucleotide replacement pathway"
"348","ENSBTAP00000003559","R-BTA-5651801","PCNA-Dependent Long Patch Base Excision Repair"
"349","ENSBTAP00000003559","R-BTA-73884","Base Excision Repair"
"350","ENSBTAP00000003559","R-BTA-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway"
"351","ENSBTAP00000003559","R-BTA-110381","Resolution of AP sites via the single-nucleotide replacement pathway"
"352","ENSBTAP00000003559","R-BTA-73894","DNA Repair"
"353","ENSBTAP00000003559","R-BTA-110362","POLB-Dependent Long Patch Base Excision Repair"
"354","ENSBTAP00000003825","R-BTA-3238698","WNT ligand biogenesis and trafficking"
"355","ENSBTAP00000003825","R-BTA-162582","Signal Transduction"
"356","ENSBTAP00000003825","R-BTA-195721","Signaling by Wnt"
"357","ENSBTAP00000004559","R-BTA-156580","Phase II conjugation"
"358","ENSBTAP00000004559","R-BTA-1430728","Metabolism"
"359","ENSBTAP00000004559","R-BTA-156590","Glutathione conjugation"
"360","ENSBTAP00000004559","R-BTA-174403","Glutathione synthesis and recycling"
"361","ENSBTAP00000004559","R-BTA-211859","Biological oxidations"
"362","ENSBTAP00000005163","R-BTA-140875","Common Pathway of Fibrin Clot Formation"
"363","ENSBTAP00000005163","R-BTA-202733","Cell surface interactions at the vascular wall"
"364","ENSBTAP00000005163","R-BTA-163841","Gamma carboxylation"
"365","ENSBTAP00000005163","R-BTA-159740","Gamma-carboxylation of protein precursors"
"366","ENSBTAP00000005163","R-BTA-159763","Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus"
"367","ENSBTAP00000005163","R-BTA-392499","Metabolism of proteins"
"368","ENSBTAP00000005163","R-BTA-159782","Removal of aminoterminal propeptides from gamma-carboxylated proteins"
"369","ENSBTAP00000005163","R-BTA-140877","Formation of Fibrin Clot (Clotting Cascade)"
"370","ENSBTAP00000005163","R-BTA-159854","Gamma-carboxylation"
"371","ENSBTAP00000005163","R-BTA-140837","Intrinsic Pathway of Fibrin Clot Formation"
"372","ENSBTAP00000005163","R-BTA-597592","Post-translational protein modification"
"373","ENSBTAP00000005163","R-BTA-109582","Hemostasis"
"374","ENSBTAP00000005183","R-BTA-1852241","Organelle biogenesis and maintenance"
"375","ENSBTAP00000005183","R-BTA-5389840","Mitochondrial translation elongation"
"376","ENSBTAP00000005183","R-BTA-5368287","Mitochondrial translation"
"377","ENSBTAP00000005183","R-BTA-5419276","Mitochondrial translation termination"
"378","ENSBTAP00000005323","R-BTA-1430728","Metabolism"
"379","ENSBTAP00000005323","R-BTA-191273","Cholesterol biosynthesis"
